studyName,Cruise,"Cycle (Event Log)","Datetime PST (Event Log)","Latitude (Event Log) (º)","Longitude (Event Log) (º)","Event Number","Cast Number","Bottle Number","Depth (m)","Heterotrophic Bacteria (number/ml)","Prochlorococcus (number/ml)","Synechococcus (number/ml)","Picoeukaryotes (number/ml)",Notes
P0605KN,P0605KN,"CYCLE 5","2006-06-04 01:03:06",32.4933,-124.2536,766,72,23,2,713226,190247,3609,2336,
P0605KN,P0605KN,"CYCLE 5","2006-06-04 01:03:06",32.4933,-124.2536,766,72,20,12,686779,222561,3399,2520,
P0605KN,P0605KN,"CYCLE 5","2006-06-04 01:03:06",32.4933,-124.2536,766,72,17,20,751682,168039,3609,2638,
P0605KN,P0605KN,"CYCLE 5","2006-06-04 01:03:06",32.4933,-124.2536,766,72,14,30,686739,183514,3281,2993,
P0605KN,P0605KN,"CYCLE 5","2006-06-04 01:03:06",32.4933,-124.2536,766,72,11,50,1115415,563903,30411,6024,
P0605KN,P0605KN,"CYCLE 5","2006-06-04 01:03:06",32.4933,-124.2536,766,72,8,60,1439432,156489,45859,12981,
P0605KN,P0605KN,"CYCLE 5","2006-06-04 01:03:06",32.4933,-124.2536,766,72,5,70,1329602,129413,27248,11498,
P0605KN,P0605KN,"CYCLE 5","2006-06-04 01:03:06",32.4933,-124.2536,766,72,2,80,1238488,114713,20318,6733,
P0605KN,P0605KN,"CYCLE 5","2006-06-05 00:49:41",32.30458,-124.2993,809,75,22,2,786660,90497,1693,1851,
P0605KN,P0605KN,"CYCLE 5","2006-06-05 00:49:41",32.30458,-124.2993,809,75,20,12,777118,89381,2087,1457,
P0605KN,P0605KN,"CYCLE 5","2006-06-05 00:49:41",32.30458,-124.2993,809,75,18,20,766395,84105,381,2258,
P0605KN,P0605KN,"CYCLE 5","2006-06-05 00:49:41",32.30458,-124.2993,809,75,16,30,837506,100800,92,2271,
P0605KN,P0605KN,"CYCLE 5","2006-06-05 00:49:41",32.30458,-124.2993,809,75,14,50,1101148,198673,8177,2940,
P0605KN,P0605KN,"CYCLE 5","2006-06-05 00:49:41",32.30458,-124.2993,809,75,12,60,1209836,265781,19123,4174,
P0605KN,P0605KN,"CYCLE 5","2006-06-05 00:49:41",32.30458,-124.2993,809,75,10,70,1345431,263904,31644,6051,
P0605KN,P0605KN,"CYCLE 5","2006-06-05 00:49:41",32.30458,-124.2993,809,75,8,80,1642371,137918,30765,13650,
P0704TN,P0704TN,"Cycle 1","2007-04-04 01:09:41",34.256,-120.841,34,3,23,2,1189611,0,14057,32944,
P0704TN,P0704TN,"Cycle 1","2007-04-04 01:09:41",34.256,-120.841,34,3,20,5,1256679,0,15094,38443,
P0704TN,P0704TN,"Cycle 1","2007-04-04 01:09:41",34.256,-120.841,34,3,17,8,1177273,0,13913,37603,
P0704TN,P0704TN,"Cycle 1","2007-04-04 01:09:41",34.256,-120.841,34,3,14,12,1179675,0,13611,32931,
P0704TN,P0704TN,"Cycle 1","2007-04-04 01:09:41",34.256,-120.841,34,3,11,20,1268938,0,13335,38483,
